s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 6.6446629E+000, 1.2473104E+001,-3.3253356E+000,-5.6843957E-001,-5.6934567E-001, 2.5434783E-003, 0.0000000E+000, 0.0000000E+000, 8.2960886E+000, 8.0125265E+000, 6.5707532E-004, 6.5707532E-004
 6.7822032E+000, 1.2485427E+001,-3.3517646E+000,-5.7859454E-001,-5.8252431E-001, 2.5406027E-003, 0.0000000E+000, 0.0000000E+000, 8.2548995E+000, 7.9750844E+000, 6.5707586E-004, 6.5707586E-004
 6.9197435E+000, 1.2492095E+001,-3.3672979E+000,-5.7676545E-001,-5.9321512E-001, 2.5385405E-003, 0.0000000E+000, 0.0000000E+000, 8.2190472E+000, 7.9573550E+000, 6.5707627E-004, 6.5707627E-004
 7.0572834E+000, 1.2495682E+001,-3.3815101E+000,-5.6298559E-001,-6.0320604E-001, 2.5378426E-003, 0.0000000E+000, 0.0000000E+000, 8.1968300E+000, 7.9505179E+000, 6.5707657E-004, 6.5707657E-004
 7.1948237E+000, 1.2497608E+001,-3.3921994E+000,-5.3820360E-001,-6.1263583E-001, 2.5382876E-003, 0.0000000E+000, 0.0000000E+000, 8.1789934E+000, 7.9571071E+000, 6.5707681E-004, 6.5707681E-004
 7.3323641E+000, 1.2498643E+001,-3.3971279E+000,-5.0217634E-001,-6.2388543E-001, 2.5392943E-003, 0.0000000E+000, 0.0000000E+000, 8.1650481E+000, 7.9779926E+000, 6.5707699E-004, 6.5707699E-004
 7.4699044E+000, 1.2499207E+001,-3.4038934E+000,-4.5432848E-001,-6.3459931E-001, 2.5403774E-003, 0.0000000E+000, 0.0000000E+000, 8.1598271E+000, 8.0089265E+000, 6.5707712E-004, 6.5707712E-004
 7.5933723E+000, 1.2856658E+001,-3.4105768E+000,-3.9472255E-001,-6.4567941E-001, 2.5412864E-003, 0.0000000E+000, 0.0000000E+000, 8.1531364E+000, 8.4082203E+000, 6.5707721E-004, 6.5707721E-004
 7.7168407E+000, 1.2706346E+001,-3.5054415E+000,-3.4072531E-001,-6.5783921E-001, 2.5424627E-003, 0.0000000E+000, 0.0000000E+000, 8.5128968E+000, 8.2048821E+000, 6.5707729E-004, 6.5707729E-004
 7.8403091E+000, 1.2619444E+001,-3.4973303E+000,-2.8362278E-001,-6.6955050E-001, 2.5437081E-003, 0.0000000E+000, 0.0000000E+000, 8.2645558E+000, 8.1714842E+000, 6.5707734E-004, 6.5707734E-004
 7.9637771E+000, 1.2569098E+001,-3.5224854E+000,-2.2923689E-001,-6.8121983E-001, 2.5461321E-003, 0.0000000E+000, 0.0000000E+000, 8.1845060E+000, 8.1387020E+000, 6.5707739E-004, 6.5707739E-004
 8.0872450E+000, 1.2539937E+001,-3.4647622E+000,-1.7797712E-001,-6.9239167E-001, 2.5491335E-003, 0.0000000E+000, 0.0000000E+000, 8.1078100E+000, 8.2073549E+000, 6.5707742E-004, 6.5707742E-004
